Station Number,DWR Regional Office*,Name,County,Latitude,Longitude,ELEV,Status,Connect,Disconnect
227,NCRO,Plymouth,Amador,38.508333,-120.799720,1520,Active,11/1/2010,Active
228,NCRO,Diamond Springs,El Dorado,38.636111,-120.793056,2050,Active,9/29/2010,Active
229,SCRO,Laguna Seca,Monterey,36.570101,-121.786499,320,Active,10/24/2011,Active
230,SRO,Santa Barbara II,Santa Barbara,34.405556,-119.715000,440,Inactive,1/10/2011,1/23/2018
231,SRO,Lompoc,Santa Barbara,34.672222,-120.513056,55,Active,7/14/2010,Active
232,SRO,Santa Maria II,Santa Barbara,34.913472,-120.464778,215,Active,4/1/2011,Active
233,SRO,Joshua Tree ,San Bernardino,34.138104,-116.213508,2479,Active,12/1/2011,Active
234,SRO,Newberry Springs II,San Bernardino,34.883472,-116.810247,1930,Active,2/25/2015,Active
235,NCRO,Verona,Sutter,38.797944,-121.611361,24,Active,5/18/2012,Active
236,NRO,Macdoel II,Siskiyou,41.802476,-121.996159,4265,Active,4/16/2015,Active
237,SRO,Temecula East III,Riverside,33.552810,-117.043302,1530,Active,11/1/2012,Active
238,SRO,Moreno Valley,Riverside,33.899914,-117.171325,1604,Inactive,4/19/2013,4/24/2018
239,SRO,Hemet,Riverside,33.664747,-116.955121,1768,Active,1/22/2015,Active
240,SRO,Perris - Menifee,Riverside,33.756308,-117.197142,1421,Active,5/25/2013,Active
241,SRO,San Clemente,Orange,33.462405,-117.586497,224,Active,7/28/2015,Active
242,NCRO,Staten Island,San Joaquin,38.192386,-121.510339,-10,Active,11/5/2015,Active
243,NCRO,Ryde,Sacramento,38.249622,-121.555528,-10,Active,12/16/2015,Active
244,NRO,Biggs,Butte,39.386632,-121.835263,72,Active,6/18/2015,Active
245,SRO,Coto de Caza,Orange,33.621667,-117.585278,846,Active,10/7/2015,Active
246,NCRO,Markleeville,Alpine,38.773409,-119.791930,5517,Active,6/13/2014,Active
247,NCRO,Jersey Island,Contra Costa,38.033386,-121.701247,-12,Active,7/1/2016,Active
248,NCRO,Holt,San Joaquin,37.932180,-121.397461,-3,Active,7/1/2016,Active
249,NCRO,Ripon,San Joaquin,37.755597,-121.266153,20,Active,7/1/2016,Active
