,AcresBurned,Started,Latitude,Longitude,precip,max_temp,min_hum,avg_wind,fires_last_year
293,2100.0,2016-10-11,36.94536,-119.25958999999999,0.0,2699.4,541.85,124.66833333333332,11
294,1785.0,2016-07-01,35.20993,-118.72272,0.12016666666666667,2806.9116666666664,734.6833333333332,129.925,3
295,1547.0,2016-09-25,38.80017,-122.82895,0.0,2538.3833333333337,1111.7166666666667,109.21833333333333,0
296,1470.0,2016-08-30,33.729828000000005,-116.00223899999999,0.0,3235.3633333333332,576.8166666666666,170.5266666666666,3
297,1246.0,2016-06-25,37.07147,-121.20155,0.08583333333333334,2477.3866666666668,1110.1666666666665,120.78666666666666,1
298,1245.0,2016-07-21,33.393,-117.35093,0.022333333333333337,2740.9333333333334,957.7666666666669,99.82,3
299,1109.0,2016-07-09,34.36763,-118.57245,0.011333333333333332,2705.0966666666677,1050.35,88.47833333333334,4
300,1080.0,2016-09-26,37.79635,-120.32484,0.0,2771.074999999999,667.5166666666668,91.11833333333335,2
301,850.0,2016-09-05,39.6871,-121.571,0.0,2715.861666666666,1178.2333333333331,69.14666666666668,7
302,710.0,2016-08-24,41.7813,-122.611,0.064,2843.61,560.7666666666668,103.75666666666669,4
303,650.0,2016-06-25,37.97,-119.14,0.6980000000000001,2635.715,515.2333333333333,110.95499999999998,0
304,599.0,2016-08-22,41.284859999999995,-123.82268,0.06833333333333333,2844.1916666666666,582.0666666666666,104.69666666666664,2
305,554.0,2016-07-08,34.913000000000004,118.9082,0.0,3161.0733333333333,720.4166666666666,178.20833333333334,4
306,550.0,2016-08-02,39.6708,-121.7192,0.0775,2752.5099999999998,1186.9833333333336,78.89833333333328,5
307,518.0,2016-08-26,35.2013,-118.7212,0.0,3015.3549999999996,567.1500000000002,112.80333333333334,9
308,464.0,2016-06-30,40.0353,-122.56938999999998,0.7273333333333334,2704.321666666667,867.0333333333333,167.4783333333334,2
309,450.0,2016-08-28,38.1874,-120.6381,0.12600000000000003,2710.535,568.1500000000001,100.54833333333333,6
310,441.0,2016-07-08,40.36873,-122.72913,1.1965000000000001,2807.296666666667,576.8166666666668,112.29333333333334,2
311,400.0,2016-08-18,36.16965,-121.38775,0.0,2368.9766666666665,1620.5333333333333,202.2,0
312,395.0,2016-08-22,36.1648,-118.73906000000001,0.0,3042.6749999999993,489.9,102.53500000000001,1
313,380.0,2016-09-11,41.4657,-120.9066,0.15249999999999997,2573.798333333333,479.3,124.23666666666664,0
314,372.0,2016-06-28,38.385,-121.003611,0.19133333333333333,2543.0683333333327,792.1833333333333,99.08833333333334,1
